,Price,Year,Mileage,City,State,Vin,Make,Model
294897,17999,2009,77309,Beresford, SD,1FTPX14V69FA91761,Ford,F-1504WD
294914,27545,2015,12864,Albuquerque, NM,1FTEX1E88FKE40471,Ford,F-1504WD
294916,24730,2014,29447,Buford, GA,1FTFX1EF9EFA76667,Ford,F-1504WD
294945,14980,2010,125930,Columbia, MO,1FTFW1EV4AFB29974,Ford,F-1504WD
294963,24888,2014,50834,Dover, DE,1FTEX1EM1EKG56061,Ford,F-1504WD
294974,28998,2016,12972,Austin, TX,1FTEX1EP7GFA37499,Ford,F-1504WD
294981,14995,2010,112874,Southgate, MI,1FTEX1E83AFD31613,Ford,F-1504WD
295007,14977,2007,97035,Middletown, CT,1FTPX14587FA64414,Ford,F-1504WD
295019,23989,2014,42063,Nokomis, FL,1FTFX1EF1EKE15994,Ford,F-1504WD
295020,17900,2010,77644,Olathe, KS,1FTEW1E83AFB33343,Ford,F-1504WD
295030,24000,2014,66459,Denver, CO,1FTFW1EF1EFB71730,Ford,F-1504WD
295044,17795,2011,97407,Roselle, IL,1FTFX1EF6BFB30504,Ford,F-1504WD
295061,12481,2007,143683,N. Bellevue, NE,1FTPW14V17KD09385,Ford,F-1504WD
295068,15999,2010,106923,Ottumwa, IA,1FTFX1EV7AFA91086,Ford,F-1504WD
295085,12900,2006,103633,Houston, TX,1FTPW14V76FB72895,Ford,F-1504WD
295111,21638,2012,59899,North Huntingdon, PA,1FTFW1EF0CFC52117,Ford,F-1504WD
295116,12947,2006,106694,Vineland, NJ,1FTPX14V66NB68727,Ford,F-1504WD
295132,21876,2012,52000,Fort Worth, TX,1FTFX1ET5CKD94439,Ford,F-1504WD
295139,15995,2010,110735,Fort Benton, MT,1FTFW1EV4AKB25429,Ford,F-1504WD
295172,19911,2010,75542,Greeley, CO,1FTFW1EVXAFB38887,Ford,F-1504WD
295204,7400,2005,161615,Venice, FL,1FTPW14595FB13216,Ford,F-1504WD
295215,16990,2010,89145,Newport, RI,1FTFX1EVXAFC20325,Ford,F-1504WD
295216,27559,2015,19599,Downers Grove, IL,1FTEX1EP6FKE24521,Ford,F-1504WD
295224,17500,2007,57250,Minooka, IL,1FTPW14V17FA25330,Ford,F-1504WD
295227,6999,2004,157926,Baltimore, MD,1FTPW145X4KA84038,Ford,F-1504WD
295228,14900,2008,107000,Dalhart, TX,1FTPW14V18FA89420,Ford,F-1504WD
295233,10995,2007,135616,Tacoma, WA,1FTPX14V17NA18199,Ford,F-1504WD
295249,11999,2006,114991,Farmington, NM,1FTPX14V36KD28967,Ford,F-1504WD
295257,27516,2015,9375,Towanda, PA,1FTEX1EP2FKE44748,Ford,F-1504WD
295280,8999,2005,142615,Phoenix, AZ,1FTPX14515NB01029,Ford,F-1504WD
295283,10999,2008,144336,Las Cruces, NM,1FTRX14W98FB60488,Ford,F-1504WD
295291,15995,2005,68209,Hyannis, MA,1FTPX14595NB79428,Ford,F-1504WD
295297,19995,2011,61835,Anchorage, AK,1FTFW1EF9BFC52664,Ford,F-1504WD
295332,15752,2007,92775,BROCKTON, MA,1FTPW14V37FB01002,Ford,F-1504WD
295335,16588,2010,94363,High Point, NC,1FTEX1EW2AFC74254,Ford,F-1504WD
295345,26997,2014,21852,Woodbridge, VA,1FTFW1EF7EKE35492,Ford,F-1504WD
295354,8499,2003,131660,Shoreline, WA,1FTRW08L63KB13545,Ford,F-1504WD
295365,19900,2012,71247,North Hampton, NH,1FTNF1ET3CKE14069,Ford,F-1504WD
295379,19995,2012,86807,Boerne, TX,1FTFX1ET2CFB08765,Ford,F-1504WD
295383,27798,2014,19084,Greeley, CO,1FTFX1EF3EKE90843,Ford,F-1504WD
295387,18000,2011,101241,Blue Springs, MO,1FTFX1EF7BFA88005,Ford,F-1504WD
295400,19000,2012,86861,Marlette, MI,1FTFX1EF7CFC65458,Ford,F-1504WD
295404,3000,1998,160000,Price, UT,1FTZX18W9WNA23404,Ford,F-1504WD
295417,17740,2012,97995,Nicholasville, KY,1FTFW1EF2CFA62044,Ford,F-1504WD
295431,10995,2007,136253,Cincinnati, OH,1FTPW14VX7FA98616,Ford,F-1504WD
295433,27919,2016,19674,Batavia, NY,1FTEX1E88GFA83948,Ford,F-1504WD
295442,11800,2005,109399,Brentwood, CA,1FTPX14535FA34475,Ford,F-1504WD
295453,19900,2009,63220,Plainfield, IN,1FTRX14879KB22588,Ford,F-1504WD
295473,11999,2007,124266,Puyallup, WA,1FTPX14V07FB38120,Ford,F-1504WD
295489,17895,2010,88361,Charleston, WV,1FTEX1EW1AKB98517,Ford,F-1504WD
295495,15988,2011,124807,Battle Creek, MI,1FTFW1ET0BFC04301,Ford,F-1504WD
295527,23500,2014,46109,Landover, MD,1FTFX1EF9EKF02607,Ford,F-1504WD
295559,12995,2006,103939,Morgantown, WV,1FTPW14586KC31296,Ford,F-1504WD
295580,15600,2008,104459,Omaha, NE,1FTPW14V28KB20777,Ford,F-1504WD
295590,10200,2006,147523,Flemingsburg, KY,1FTPW14506FA24135,Ford,F-1504WD
295601,12000,2005,110042,Heber Springs, AR,1FTPX145X5FB74247,Ford,F-1504WD
295608,26999,2016,21467,Lafayette, IN,1FTEX1E84GFC40553,Ford,F-1504WD
295620,7997,2000,138336,Spokane, WA,2FTRX18W8YCA35634,Ford,F-1504WD
295627,26900,2014,16479,Pittsburgh, PA,1FTFX1EF8EFA27055,Ford,F-1504WD
295644,28200,2016,28366,Hicksville, OH,1FTEW1EP6GFB45910,Ford,F-1504WD
295645,21599,2014,97236,Denver, CO,1FTFW1ET5EKF27772,Ford,F-1504WD
295654,23977,2014,50604,Blackshear, GA,1FTFX1EF3EFC05728,Ford,F-1504WD
295656,23983,2010,17863,White Bear Lake, MN,1FTEX1E82AFD21039,Ford,F-1504WD
295669,19000,2010,76590,Ottumwa, IA,1FTFW1EV3AFD44519,Ford,F-1504WD
295677,12595,2008,121561,Taylor, MI,1FTPX14V58FB83653,Ford,F-1504WD
295686,26776,2015,41294,Fargo, ND,1FTFX1EF9FFC97848,Ford,F-1504WD
295688,15900,2010,103752,Carrollton, GA,1FTEX1E87AKE26361,Ford,F-1504WD
295712,10373,2005,155802,American Fork, UT,1FTPW145X5KC66680,Ford,F-1504WD
295714,18790,2010,69016,Chantilly, VA,1FTFX1EV0AFC11939,Ford,F-1504WD
295726,20983,2010,52458,Imlay City, MI,1FTFW1E87AFD67778,Ford,F-1504WD
295729,17862,2008,71877,Kingston, NY,1FTPW14598FB27055,Ford,F-1504WD
295738,11334,2004,107620,Pikeville, KY,1FTPW14564KC76556,Ford,F-1504WD
295745,19690,2011,76683,Shelbyville, KY,1FTFX1ET5BFB82311,Ford,F-1504WD
295747,27999,2015,23505,Bellingham, WA,1FTEW1E80FFB17091,Ford,F-1504WD
295749,11980,2007,124075,Bradley, IL,1FTPW14V67FB16805,Ford,F-1504WD
295751,26395,2014,11942,Fishers, IN,1FTFX1ET3EFA83331,Ford,F-1504WD
295753,17995,2010,104281,Norman, OK,1FTFW1EV7AFB04518,Ford,F-1504WD
295762,28995,2016,7681,Greenville, SC,1FTNF1EG3GKF38965,Ford,F-1504WD
295766,8795,2005,152514,Monroe, MI,1FTPX14555KE53483,Ford,F-1504WD
295774,22995,2011,42501,Sullivan, IL,1FTEX1EM0BFC93000,Ford,F-1504WD
295778,14733,2008,122575,Olympia, WA,1FTPW14V68FC22382,Ford,F-1504WD
295780,20000,2014,89037,Austin, TX,1FTFX1EF3EKF80140,Ford,F-1504WD
295794,22993,2012,38208,Burlington, WA,1FTFX1EF0CFC80707,Ford,F-1504WD
295795,27995,2016,9993,Feasterville, PA,1FTEX1E80GFB60957,Ford,F-1504WD
295821,6995,1999,116760,West Palm Beach, FL,2FTRX18L9XCA56206,Ford,F-1504WD
295822,10999,2005,120146,South Amboy, NJ,1FTPW14595KE36267,Ford,F-1504WD
295823,12499,2006,138974,Omaha, NE,1FTPW14546FA10786,Ford,F-1504WD
295824,6400,2002,149736,Albuquerque, NM,1FTRF18LX2NB82130,Ford,F-1504WD
295830,24693,2015,41258,Bedford, OH,1FTFX1EF5FKF09507,Ford,F-1504WD
295844,14500,2008,113316,Willow Grove, PA,1FTRW14W88FB86454,Ford,F-1504WD
295855,16990,2008,73904,Ansonia, CT,1FTPW04508KC51197,Ford,F-1504WD
295865,14999,2007,89342,Draper, UT,1FTPW14V87KC48049,Ford,F-1504WD
295875,28396,2015,18107,Hicksville, OH,1FTEW1E83FFB99981,Ford,F-1504WD
295900,18995,2010,67118,Ontario, NY,1FTFX1EV3AFC42635,Ford,F-1504WD
295909,15995,2008,86078,Indianapolis, IN,1FTPX14518FA22796,Ford,F-1504WD
295914,18495,2007,47380,Doral, FL,1FTPW14VX7KD02418,Ford,F-1504WD
295921,21496,2014,71466,Blue Springs, MO,1FTFX1ET3EKF57348,Ford,F-1504WD
295924,27988,2015,17279,Gladstone, MO,1FTEX1E82FKD57800,Ford,F-1504WD
295930,20988,2014,92466,Irwin, PA,1FTFW1EF5EKD15674,Ford,F-1504WD
295937,13400,2005,89998,Hazlet, NJ,1FTPW14525KE05717,Ford,F-1504WD
295941,16057,2011,117179,Radcliff, KY,1FTFX1EF1BFA05264,Ford,F-1504WD
295944,12573,2005,108986,Golden, CO,1FTPW14595KE92371,Ford,F-1504WD
295974,17495,2010,85433,Red Bank, NJ,1FTFW1EV0AFA46526,Ford,F-1504WD
295990,18035,2009,68170,Layton, UT,1FTPX14V09KB44946,Ford,F-1504WD
295995,22600,2011,57930,Columbia, Md,1FTFW1EF0BFB86103,Ford,F-1504WD
296010,16994,2011,104005,Crittenden, KY,1FTFW1EF0BFC08746,Ford,F-1504WD
296037,12999,2004,110539,Bellingham, WA,1FTPW14524KB00782,Ford,F-1504WD
296043,10998,2004,112355,Tacoma, WA,1FTPX14524NC57658,Ford,F-1504WD
296054,27000,2015,21673,Hazelwood, MO,1FTEX1EP4FKE24405,Ford,F-1504WD
296084,18525,2012,106275,St. Peters, MO,1FTFW1EF4CKD23648,Ford,F-1504WD
296092,25997,2014,43589,Anchorage, AK,1FTFW1EF2EFB17787,Ford,F-1504WD
296098,15998,2010,113833,Southern Pines, NC,1FTFX1EV8AFC28679,Ford,F-1504WD
296104,28590,2015,3980,Cookeville, TN,1FTEX1EP2FKE56849,Ford,F-1504WD
296114,6295,1999,126201,Lakewood, CO,1FTRX18W1XNA14973,Ford,F-1504WD
296132,25495,2014,24021,Noblesville, IN,1FTFX1EFXEFA92781,Ford,F-1504WD
296143,25985,2014,31774,O'Fallon, IL,1FTEX1EM9EKE43908,Ford,F-1504WD
296150,25912,2014,29488,Matteson, IL,1FTFX1ET3EFA60146,Ford,F-1504WD
296152,17995,2008,62810,Fredericksburg, VA,1FTPX14528FB89569,Ford,F-1504WD
296159,29000,2015,10492,Cranston, RI,1FTEX1EP3FFC95629,Ford,F-1504WD
296160,4544,2006,215184,Buckeye, AZ,1FTPX14V36NA85546,Ford,F-1504WD
296161,23160,2012,64507,Watertown, NY,1FTFX1ET5CFC72494,Ford,F-1504WD
296168,14697,2005,84528,Adamsburg, PA,1FTPW14595KE56485,Ford,F-1504WD
296190,24999,2014,30181,Miami, FL,1FTFX1ET1EFC12067,Ford,F-1504WD
296191,18995,2010,68086,Mt Pleasant, MI,1FTFX1EV6AFC38367,Ford,F-1504WD
296212,27000,2014,26121,Cranston, RI,1FTFX1EF9EFC03790,Ford,F-1504WD
296230,21695,2014,79895,Rugby, ND,1FTFX1EF9EKF92647,Ford,F-1504WD
296248,26150,2014,32265,Tulsa, OK,1FTFX1EFXEKD44455,Ford,F-1504WD
296252,27998,2015,12659,Rock Springs, WY,1FTEX1EP3FFA36042,Ford,F-1504WD
296258,12950,2007,115268,Milaca, MN,1FTPX14V87KC76771,Ford,F-1504WD
296264,21900,2012,50497,New Philadelphia, OH,1FTFX1EFXCFB11438,Ford,F-1504WD
296284,25788,2014,30783,Blackshear, GA,1FTMF1EF4EKE36302,Ford,F-1504WD
296309,19896,2012,85617,Lakewood, WA,1FTFX1EF4CFA78131,Ford,F-1504WD
296312,27995,2016,21493,La Grange, TX,1FTEX1EPXGKE30565,Ford,F-1504WD
296322,25555,2014,33697,Granite City, IL,1FTFX1EF2EFB45859,Ford,F-1504WD
296328,20300,2010,62589,Netcong, NJ,1FTVX1EV9AKE24990,Ford,F-1504WD
296338,21000,2010,54182,Jacksonville, NC,1FTEX1E87AKB98054,Ford,F-1504WD
296363,26399,2015,29859,Morrow, GA,1FTEX1EP7FKD59128,Ford,F-1504WD
296368,26800,2014,21657,Boone, NC,1FTEX1EM1EFC52802,Ford,F-1504WD
296381,14000,2011,136308,Athens, OH,1FTFX1ET6BFC34321,Ford,F-1504WD
296405,11477,2006,124836,Stafford, VA,1FTPX14536NA49422,Ford,F-1504WD
296413,9449,2004,145258,Antioch, IL,1FTPW14534KC95890,Ford,F-1504WD
296419,26991,2014,19843,Lexington, KY,1FTEX1EM8EFC41389,Ford,F-1504WD
296427,14977,2010,117141,Cambridge, OH,1FTFX1EV9AFA15451,Ford,F-1504WD
296446,6989,2005,173737,Nokomis, FL,1FTPX04525KC77468,Ford,F-1504WD
296450,29991,2016,3095,Littleton, CO,1FTEX1E81GFC09129,Ford,F-1504WD
296461,24499,2014,46785,Hanover, MA,1FTEX1EM2EKG02011,Ford,F-1504WD
296465,26500,2014,29783,Seekonk, MA,1FTFX1EF2EFB65853,Ford,F-1504WD
296481,28321,2016,21288,Jacksonville, FL,1FTEX1E86GFB46223,Ford,F-1504WD
296484,23995,2012,36001,Sterling Heights, MI,1FTFX1ET3CFB00786,Ford,F-1504WD
296490,17900,2010,91593,Sandusky, MI,1FTFW1EV3AFA10460,Ford,F-1504WD
296492,12915,2007,126168,Hamler, OH,1FTPX14V27FB34389,Ford,F-1504WD
296514,27500,2015,30833,Hicksville, OH,1FTFX1EF9FFD10341,Ford,F-1504WD
296515,18871,2014,119454,De Soto, MO,1FTFX1EF4EKE33759,Ford,F-1504WD
296526,15998,2011,113642,Wickliffe, OH,1FTFX1EF3BFD34855,Ford,F-1504WD
296527,25538,2010,45,Spanish Fork, UT,1FTFW1EV4AFD79425,Ford,F-1504WD
296529,26988,2014,12595,Cincinnati, OH,1FTFX1EF8EKF71403,Ford,F-1504WD
296549,22487,2009,28244,Auburn, ME,1FTVF14V39KB99465,Ford,F-1504WD
296552,17995,2005,38128,Wakefield, MA,1FTPW14525KE97346,Ford,F-1504WD
296563,13990,2004,87608,Taylorville, IL,1FTPW14534KC88518,Ford,F-1504WD
296574,27743,2015,23359,Blair, NE,1FTEX1EPXFKE73950,Ford,F-1504WD
296576,8495,2006,161200,Springville, UT,1FTPX14536NA47976,Ford,F-1504WD
296577,17988,2010,91102,Oswego, IL,1FTFW1EV1AFA55428,Ford,F-1504WD
296584,14000,2008,112126,Murrysville, PA,1FTPW14V18FA36975,Ford,F-1504WD
296587,28195,2016,19810,Tinton Falls, NJ,1FTEX1EF7GKD48932,Ford,F-1504WD
296597,12932,2007,136357,Wenatchee, WA,1FTPX14V37FB40654,Ford,F-1504WD
296611,26995,2014,17117,Keizer, OR,1FTMF1EMXEFA31276,Ford,F-1504WD
296633,27980,2014,16180,Cary, NC,1FTFX1EF2EKE04020,Ford,F-1504WD
296643,18995,2012,86540,Anchorage, AK,1FTFW1ET7CKD61963,Ford,F-1504WD
296647,23996,2014,48104,Chicago, IL,1FTFX1EF4EFC23266,Ford,F-1504WD
296665,24995,2014,41671,Sterling Heights, MI,1FTEX1EM4EFC41678,Ford,F-1504WD
296669,18995,2010,69431,Tilton, NH,1FTFX1EV5AFB07365,Ford,F-1504WD
296675,19988,2009,78362,Exeter, NH,1FTRW14829FB39116,Ford,F-1504WD
296677,21196,2011,62868,Lakeville, MN,1FTFW1EF6BFC93284,Ford,F-1504WD
296683,16989,2010,99175,Seekonk, MA,1FTFW1EV7AKE66890,Ford,F-1504WD
296692,25999,2014,29373,Van Wert, OH,1FTFX1ET6EFA95912,Ford,F-1504WD
296703,27998,2015,17185,Quakertown, PA,1FTEX1E87FFC16472,Ford,F-1504WD
296707,24994,2014,43944,Dartmouth, MA,1FTFX1EF7EFC23391,Ford,F-1504WD
296731,16995,2011,102248,Woodbridge Township, NJ,1FTFX1ET8BFB00829,Ford,F-1504WD
296751,16995,2010,93712,Mt Pleasant, MI,1FTEX1E80AFA44407,Ford,F-1504WD
296768,24923,2014,32702,Hooksett, NH,1FTFX1EFXEFA31236,Ford,F-1504WD
296774,16995,2010,93787,Lynnwood, WA,1FTFX1EV8AFB31465,Ford,F-1504WD
296786,26791,2014,39712,Ankeny, IA,1FTFX1EF7EKF08213,Ford,F-1504WD
296797,18950,2010,79398,Worthington, OH,1FTFW1EVXAFA37333,Ford,F-1504WD
296799,20495,2011,70125,Lafayette, LA,1FTFX1EFXBFB80984,Ford,F-1504WD
296804,29991,2016,17238,Omaha, NE,1FTEX1EP3GKD38679,Ford,F-1504WD
296809,17994,2009,73245,Monroe, LA,1FTRX14809FB22358,Ford,F-1504WD
296814,21994,2012,57530,Libertyville, IL,1FTFX1EF3CFA49817,Ford,F-1504WD
296843,16295,2010,103821,Freehold, NJ,1FTEW1E81AFC59619,Ford,F-1504WD
296870,9999,2008,170963,SHAKOPEE, MN,1FTPX14V48FA09542,Ford,F-1504WD
296875,28000,2016,22993,Circleville, OH,1FTEX1EPXGFB38360,Ford,F-1504WD
296876,26789,2014,19293,St. Petersburg, FL,1FTEX1EMXEFD14021,Ford,F-1504WD
296892,24923,2014,33063,Hooksett, NH,1FTFX1EF1EFA31237,Ford,F-1504WD
296894,16500,2008,82904,Merriam, KS,1FTPW14V08FB41586,Ford,F-1504WD
296934,27500,2015,25391,Grand Rapids, MI,1FTEX1E86FFB34880,Ford,F-1504WD
296939,24877,2014,48199,Palmer, MA,1FTFW1ET8EFA80864,Ford,F-1504WD
296944,9995,2003,118364,Everett, WA,1FTRW08673KA83725,Ford,F-1504WD
296951,18971,2010,70498,Seffner, FL,1FTFX1EV2AFB78748,Ford,F-1504WD
296961,23625,2012,53221,Portsmouth, NH,1FTFX1ETXCFC63709,Ford,F-1504WD
296964,25500,2015,34915,Maumee, OH,1FTEX1E84FKD50749,Ford,F-1504WD
296967,12900,2011,152271,Stafford, VA,1FTFX1ETXBFB79954,Ford,F-1504WD
296978,18486,2008,59217,Southborogh, MA,1FTRW14W88FC13278,Ford,F-1504WD
296980,25490,2014,30303,Towanda, PA,1FTFW1ETXEKF30263,Ford,F-1504WD
297016,16900,2010,105438,Portsmouth, OH,1FTEW1E84AFA65263,Ford,F-1504WD
297018,13950,2004,79547,Fort Gratiot, MI,1FTPW145X4KB55870,Ford,F-1504WD
297021,21877,2010,57773,Highlands Ranch, CO,1FTEW1E81AFB94495,Ford,F-1504WD
297032,27947,2014,26504,Hattiesburg, MS,1FTEX1EM9EFB00444,Ford,F-1504WD
297033,23991,2012,37302,Oneida, NY,1FTFX1ET3CFA52013,Ford,F-1504WD
297041,25978,2014,32398,Lumberton, NC,1FTMF1EF4EKD13230,Ford,F-1504WD
297049,3495,2002,188385,Lake Orion, MI,1FTRW08LX2KE19792,Ford,F-1504WD
297064,16600,2007,83439,Ashland, WI,1FTPW14V67FA71610,Ford,F-1504WD
297070,23283,2011,37367,Imlay City, MI,1FTFW1EF2BFA15935,Ford,F-1504WD
297075,17499,2011,98669,E. Providence, RI,1FTFX1EF0BKD15882,Ford,F-1504WD
297083,26988,2014,22546,Turnersville, NJ,1FTEX1EM2EFA04574,Ford,F-1504WD
297084,11881,2005,127525,Layton, UT,1FTPW14515KD93916,Ford,F-1504WD
297090,17995,2010,82690,Mt Pleasant, MI,1FTEX1E88AFB71311,Ford,F-1504WD
297094,15495,2007,87000,Beverly, MA,1FTPW14507FA59629,Ford,F-1504WD
297129,14995,2010,118932,Rio Linda, CA,1FTFX1EV1AFC72250,Ford,F-1504WD
297132,17493,2011,98964,Pinconning, MI,1FTFW1EF9BKD58569,Ford,F-1504WD
297139,13779,2010,154229,Marysville, WA,1FTEX1E81AKE65852,Ford,F-1504WD
297168,25900,2014,34517,Glen Burnie, MD,1FTEX1EM4EFA88803,Ford,F-1504WD
297180,26995,2015,42825,Burton, OH,1FTEX1EP3FFA86004,Ford,F-1504WD
297186,26588,2014,13886,Lauderdale Lakes, FL,1FTFX1EF9EKE05407,Ford,F-1504WD
297217,13950,2011,149018,Austin, TX,1FTFW1ET1BFD27668,Ford,F-1504WD
297251,11995,2006,121038,Belton, TX,1FTPX14556FA62215,Ford,F-1504WD
297284,28999,2016,12201,Gower, MO,1FTEX1EP1GKF15696,Ford,F-1504WD
297286,18750,2011,92635,Bristol, TN,1FTFX1EF5BFB60531,Ford,F-1504WD
297289,12220,2006,129000,Katy, TX,1FTPW14VX6KD77568,Ford,F-1504WD
297298,11990,2005,122487,Florissant, MO,1FTPW14505FA92272,Ford,F-1504WD
297309,26995,2016,26600,Naugatuck, CT,1FTEX1E86GFC09319,Ford,F-1504WD
297311,29181,2016,19783,Baltimore, MD,1FTEX1EP3GFB51404,Ford,F-1504WD
297313,18889,2011,81232,Fredericksburg, VA,1FTFX1ET2BFB87319,Ford,F-1504WD
297317,26999,2015,40270,Bellingham, WA,1FTEW1EFXFFC32635,Ford,F-1504WD
297323,18000,2010,80506,Athens, OH,1FTFX1EV0AFA39461,Ford,F-1504WD
297331,19231,2012,87918,Madison, GA,1FTFX1EF7CFC47672,Ford,F-1504WD
297343,24792,2014,45840,Wall, NJ,1FTEX1EM1EFB58421,Ford,F-1504WD
297351,21115,2012,67440,Georgetown, TX,1FTFW1EF8CFC08611,Ford,F-1504WD
297359,16988,2010,95646,Sacramento, CA,1FTFX1EV1AFB69183,Ford,F-1504WD
297375,23510,2014,61367,Meridian, MS,1FTFW1ET8EFB63601,Ford,F-1504WD
297385,17995,2011,92178,Fort Wayne, IN,1FTFX1ET0BFA88689,Ford,F-1504WD
297394,24549,2014,39065,Belford, NJ,1FTEX1EM4EFB37076,Ford,F-1504WD
297397,19995,2012,76715,Baltimore, MD,1FTEX1EM4CKD46063,Ford,F-1504WD
297398,26995,2014,26163,Harrison, OH,1FTFX1EFXEKD90299,Ford,F-1504WD
297399,13999,2011,140334,Schaumburg, IL,1FTFX1EF1BFA83706,Ford,F-1504WD
297402,12499,2007,124000,Aurora, CO,1FTPW14557FB59189,Ford,F-1504WD
297403,15000,2007,102600,Albuquerque, NM,1FTPW14V87KA81014,Ford,F-1504WD
297409,25999,2015,30243,West Palm Beach, FL,1FTEX1EP0FFB97058,Ford,F-1504WD
297413,25899,2014,29283,Battle Creek, MI,1FTEX1EM9EFB68744,Ford,F-1504WD
297416,16900,2011,105444,Lubbock, TX,1FTFX1EF7BFB71918,Ford,F-1504WD
297438,20000,2011,81294,Fenton, MI,1FTFW1EF7BFC42229,Ford,F-1504WD
297451,16739,2009,100123,North Huntingdon, PA,1FTPW14V79FA59162,Ford,F-1504WD
297457,24000,2014,66756,Clarksville, TN,1FTFX1ET9EFA45960,Ford,F-1504WD
297459,18991,2010,89325,Billings, MT,1FTFW1EV5AFB79024,Ford,F-1504WD
297463,21989,2011,57208,Woodbridge, CT,1FTFW1EF6BFC43209,Ford,F-1504WD
297464,8997,2004,140561,Merriam, KS,1FTPX14514FA03918,Ford,F-1504WD
297471,10995,2006,156567,Boise, ID,1FTPW14506FA22515,Ford,F-1504WD
297473,10995,2007,152154,Broken Arrow, OK,1FTPW14V97KC46522,Ford,F-1504WD
297481,12101,2006,130254,Portsmouth, OH,1FTPW14596FA51253,Ford,F-1504WD
297484,21119,2011,63206,Elgin, IL,1FTFW1ET2BFD16887,Ford,F-1504WD
297491,26791,2014,22166,Auburn, ME,1FTEX1EM9EFC38730,Ford,F-1504WD
297492,15800,2011,118908,Harrisonville, MO,1FTFX1EF1BFD39052,Ford,F-1504WD
297496,18774,2010,77600,Burlington, NJ,1FTFW1EV0AFA90624,Ford,F-1504WD
297504,14995,2009,111437,Anchorage, AK,1FTPX14V29FA23344,Ford,F-1504WD
297505,18998,2011,88250,Centennial, CO,1FTFX1ET9BFB01648,Ford,F-1504WD
297513,17988,2007,58207,Boise, ID,1FTPW145X7FB08688,Ford,F-1504WD
297518,17988,2009,75424,Ortonville, MI,1FTPW14V69FB23062,Ford,F-1504WD
297526,19195,2014,103936,Temple, TX,1FTEX1EM8EKG06886,Ford,F-1504WD
297530,22143,2010,42016,London, OH,1FTFW1EV3AFA82100,Ford,F-1504WD
297535,14999,2008,102888,Lynnwood, WA,1FTPX04578KB62028,Ford,F-1504WD
297551,16900,2009,94394,Massillon, OH,1FTPX14V39FB29625,Ford,F-1504WD
297555,17998,2008,79940,Quakertown, PA,1FTPW04568KB88154,Ford,F-1504WD
297562,17791,2011,96704,Pinconning, MI,1FTFW1EFXBFB93818,Ford,F-1504WD
297569,3900,1999,159303,Waterford, MI,1FTRX18L9XNB30413,Ford,F-1504WD
297584,28725,2016,19765,Batavia, OH,1FTEW1EF2GFB55924,Ford,F-1504WD
297618,11990,2007,130816,Jacksonville, FL,1FTPX14547NA22862,Ford,F-1504WD
297627,17000,2009,97530,Bristol, TN,1FTRX14V09KB36970,Ford,F-1504WD
297630,15016,2007,104229,Missoula, MT,1FTPW14V37FA73458,Ford,F-1504WD
297634,13997,2011,156718,Worthington, OH,1FTFW1EF3BFB53628,Ford,F-1504WD
297650,10500,2008,164424,Martinsville, IN,1FTPX14V68FA52974,Ford,F-1504WD
297661,19980,2012,83409,Asheboro, NC,1FTFX1ET4CFC01271,Ford,F-1504WD
297664,24998,2014,51367,South Easton, MA,1FTEX1EM5EFC57887,Ford,F-1504WD
297672,17994,2012,123401,Manchester, NH,1FTFW1ET2CFA07907,Ford,F-1504WD
297675,22996,2014,75196,Blair, NE,1FTFX1EF4EKE00079,Ford,F-1504WD
297699,24993,2011,32615,Fairfax, VA,1FTFW1ET7BKE00954,Ford,F-1504WD
297706,8999,2004,141345,Irving, TX,1FTPW14574KA83350,Ford,F-1504WD
297717,20495,2010,64556,Sterling Heights, MI,1FTFW1EV8AFA37802,Ford,F-1504WD
297738,28000,2015,28392,Hicksville, OH,1FTEW1E82FFB99700,Ford,F-1504WD
297743,8418,2004,173004,Fargo, ND,1FTPW14574KC32081,Ford,F-1504WD
297746,9800,2005,141586,Massillon, OH,1FTPW145X5KE91357,Ford,F-1504WD
297754,19000,2012,98898,Niagara Falls, NY,1FTFW1ET4CFC00799,Ford,F-1504WD
297760,16995,2014,131115,Austin, TX,1FTFW1EF5EFC74648,Ford,F-1504WD
297768,17886,2010,94600,West Bend, WI,1FTFX1EV8AFC06827,Ford,F-1504WD
297781,4998,1998,153013,Kansas City, KS,1FTZX18W2WKA13668,Ford,F-1504WD
297783,22788,2015,79875,Austin, TX,1FTFX1EF4FKE20494,Ford,F-1504WD
297790,28000,2016,26395,Chicago, IL,1FTFX1EF4GKE75870,Ford,F-1504WD
297791,17995,2009,86754,Crete, NE,1FTPX14VX9KC94496,Ford,F-1504WD
297808,19499,2010,74970,Point Pleasant, NJ,1FTFX1EV8AFC74321,Ford,F-1504WD
297817,12990,2006,110716,Des Moines, IA,1FTVX14526NA81012,Ford,F-1504WD
297821,26995,2015,29289,Sevierville, TN,1FTEX1EP8FFD01540,Ford,F-1504WD
297843,14599,2011,143820,Draper, UT,1FTFW1EF0BFC96522,Ford,F-1504WD
297870,13750,2006,101703,Portsmouth, VA,1FTPW14556KA69837,Ford,F-1504WD
297880,14995,2009,112535,Clive, IA,1FTPX14V49KC36965,Ford,F-1504WD
297882,24661,2014,43720,Chicago, IL,1FTFX1EF5EKE95073,Ford,F-1504WD
297889,27000,2014,23984,Lexington, KY,1FTEX1EM4EFA99882,Ford,F-1504WD
297893,18483,2009,70143,Plainfield, IN,1FTPX14V29KB48836,Ford,F-1504WD
