,Price,Where
280327,19995,National
280400,9299,National
280496,7995,National
280644,9900,National
280707,11995,National
280876,23597,National
280976,11289,National
281061,11750,National
281223,6995,National
281266,7995,National
281329,8996,National
281379,10750,National
281562,2400,National
281583,13993,National
281586,11970,National
281618,9995,National
281852,3500,National
282039,24978,National
282108,24988,National
282121,15000,National
282160,7995,National
282167,23595,National
282288,4995,National
282318,18900,National
282349,5595,National
282409,10495,National
282469,10995,National
282511,18991,National
282543,13765,National
282577,20483,National
282590,15994,National
282614,7728,National
282695,16500,National
282707,12366,National
282709,8999,National
282714,11299,National
282801,12995,National
282810,18495,National
282815,3699,National
282879,17700,National
282896,18997,National
282985,7795,National
283099,17900,National
283163,11995,National
283353,20998,National
283384,6899,National
283396,6970,National
283468,12990,National
283477,7410,National
283570,9998,National
283585,4995,National
283653,10975,National
283743,11999,National
283759,14995,National
283775,10496,National
283835,24983,National
283876,9999,National
283933,16998,National
284089,6988,National
284139,13300,National
284150,16991,National
284158,12888,National
284192,7989,National
284194,13977,National
284288,7500,National
284297,8600,National
284371,25370,National
284387,25688,National
284403,5995,National
284481,13675,National
284545,10950,National
284581,12000,National
284613,11999,National
284649,9750,National
284668,11288,National
284717,6995,National
284791,12495,National
284797,19995,National
284810,14899,National
284834,13812,National
284854,14699,National
284895,9550,National
284905,6495,National
284976,12487,National
285000,17995,National
285045,8995,National
285060,12899,National
285123,9999,National
285143,8500,National
285147,8200,National
285167,19700,National
285189,7000,National
285190,17500,National
285292,12422,National
285336,10900,National
285362,14400,National
285379,9584,National
285387,16200,National
285405,9495,National
285423,11700,National
285453,24984,National
285464,18798,National
285465,9999,National
285485,22000,National
285492,11900,National
285493,23988,National
285589,7872,National
285628,16701,National
285653,7999,National
285698,15995,National
285721,15828,National
285727,15988,National
285785,12500,National
285790,14950,National
285830,10641,National
285855,6695,National
285929,15995,National
285978,25696,National
286043,15995,National
286079,7000,National
286082,11258,National
286083,12845,National
286090,6993,National
286091,12448,National
286124,13999,National
286148,26499,National
286155,9995,National
286164,11990,National
286186,16999,National
286199,4980,National
286247,10995,National
286271,4995,National
286280,15000,National
286348,8495,National
286355,5550,National
286387,25981,National
286389,19451,National
286393,19988,National
286405,10000,National
286423,8995,National
286439,9999,National
286451,17900,National
286480,10995,National
286514,14000,National
286578,20800,National
286587,7995,National
286673,15995,National
286704,13995,National
286730,24996,National
286755,11998,National
286826,11999,National
286863,23999,National
286868,9950,National
286881,15492,National
286889,11995,National
286905,8995,National
286906,7990,National
286938,21000,National
286939,7988,National
286988,23999,National
287020,15995,National
287047,23998,National
287056,13985,National
287075,11017,National
287079,8999,National
287116,7900,National
287212,7900,National
287229,14819,National
287255,13998,National
287282,17998,National
287294,10585,National
287296,13893,National
287324,22599,National
287326,8675,National
287327,13399,National
287347,25412,National
287368,13404,National
287402,10400,National
287413,14900,National
287420,10821,National
287429,10732,National
287446,14968,National
287523,10999,National
287567,10950,National
287589,10995,National
287600,8950,National
287628,23996,National
287664,16741,National
287666,8499,National
287680,18000,National
287693,7992,National
287724,6989,National
287751,25887,National
287752,16995,National
287771,8895,National
287794,7950,National
287822,15353,National
287825,21500,National
287866,16993,National
287895,16500,National
287909,12990,National
287913,12795,National
287932,13750,National
287979,8494,National
288001,10357,National
288009,19900,National
288047,12358,National
288066,25974,National
288076,26948,National
288092,12995,National
288114,10995,National
288121,11000,National
288122,19950,National
288135,23999,National
288150,10995,National
288156,21988,National
288182,15995,National
288186,16295,National
288203,21036,National
288204,26988,National
288209,9737,National
288251,8900,National
288282,22000,National
288302,21500,National
288308,17000,National
288313,21000,National
288345,11444,National
288349,14185,National
288368,14495,National
288391,27000,National
288394,25500,National
288396,14990,National
288420,26999,National
288437,13577,National
288440,15900,National
288462,12450,National
288463,25987,National
288535,8999,National
288594,4950,National
288595,9984,National
288596,27994,National
288610,20599,National
288613,12566,National
288638,16343,National
288639,10995,National
288645,13495,National
288666,16726,National
288695,26815,National
288707,13995,National
288737,26984,National
288868,5995,National
288875,16950,National
288887,27208,National
288891,6000,National
288934,13500,National
288941,8500,National
288968,12592,National
288974,27400,National
289021,12194,National
289056,11977,National
289061,20400,National
289089,9948,National
289100,18999,National
289105,21985,National
289146,12358,National
289149,9900,National
289160,14996,National
289174,18553,National
289205,24900,National
289227,21098,National
289236,19962,National
289267,5800,National
289271,7589,National
289278,12900,National
289290,18124,National
289298,14423,National
289313,5900,National
289354,15500,National
289374,16790,National
289402,9999,National
289409,18995,National
289436,14500,National
289471,11995,National
289474,24997,National
289586,17854,National
289625,10995,National
289626,11995,National
289634,16500,National
289650,5695,National
289659,9495,National
289670,11995,National
289673,12795,National
289692,12900,National
289698,9499,National
289715,18000,National
289720,12977,National
289758,13888,National
289783,24758,National
289790,20170,National
289813,13500,National
289819,7999,National
289850,9950,National
289866,13495,National
289867,10995,National
289875,9995,National
289895,15102,National
289933,10990,National
289940,15883,National
289948,5950,National
289965,19664,National
290033,20975,National
290037,5500,National
290043,9598,National
290054,10950,National
290057,10989,National
290069,14806,National
290074,8995,National
290084,13398,National
290088,5795,National
290096,16500,National
290103,16479,National
290108,19816,National
290128,12600,National
290129,7123,National
290181,18995,National
290214,14495,National
290217,27000,National
290218,19850,National
290219,6990,National
290223,6995,National
290252,18483,National
290280,20900,National
290308,27500,National
290310,14499,National
290321,11000,National
290329,16477,National
290357,14263,National
290365,14999,National
290374,24496,National
290398,5999,National
290404,7950,National
290407,19500,National
290415,5499,National
290489,5999,National
290504,10495,National
290529,12995,National
290556,11998,National
290571,16995,National
290591,19834,National
290605,11850,National
290617,10000,National
290624,14933,National
290653,9995,National
290678,20699,National
290681,17936,National
290683,5695,National
290688,24965,National
290707,13495,National
290708,12995,National
290710,17290,National
290734,7995,National
290755,10998,National
290770,27000,National
290793,16750,National
290798,13426,National
290802,16995,National
290806,25995,National
290810,20000,National
290835,13700,National
290844,11900,National
290863,12999,National
290867,21500,National
290870,25999,National
290878,14999,National
290888,24999,National
290906,9995,National
290929,13950,National
290945,25997,National
290951,12282,National
290953,9990,National
290957,10995,National
290963,24000,National
290969,12499,National
290978,9950,National
290988,24995,National
291012,7900,National
291019,9800,National
291041,15995,National
291077,22300,National
291136,16998,National
291140,16988,National
291156,15988,National
291168,16999,National
291178,27450,National
291189,6000,National
291193,19990,National
291207,23576,National
291215,13498,National
291235,17600,National
291282,13831,National
291289,24691,National
291307,27994,National
291329,11490,National
291336,11900,National
291338,10950,National
291341,20700,National
291342,5850,National
291365,5988,National
291370,12873,National
291379,24499,National
291396,8000,National
291403,12699,National
291422,22550,National
291430,24990,National
291485,18500,National
291488,12900,National
291491,23245,National
291514,12000,National
291528,23999,National
291532,27791,National
291564,25025,National
291565,14990,National
291580,5995,National
291584,10777,National
291586,7995,National
291619,10995,National
291654,17995,National
291673,12998,National
291680,11913,National
291703,21000,National
291710,10995,National
291742,17723,National
291748,19970,National
291766,21995,National
291767,7352,National
291775,24500,National
291780,12998,National
291787,8990,National
291788,19995,National
291817,16295,National
291824,15995,National
291825,7999,National
291856,28410,National
291867,20000,National
291869,21998,National
291904,8495,National
291934,15395,National
291935,13990,National
291941,10995,National
291946,16500,National
291959,16995,National
291971,7995,National
291979,15999,National
291988,14800,National
291997,11139,National
292045,20782,National
292057,16377,National
292066,20244,National
292077,15248,National
292104,5500,National
292108,11988,National
292115,15976,National
292124,10899,National
292152,12977,National
292188,16200,National
292196,12597,National
292215,28275,National
292216,23964,National
292217,12995,National
292227,14200,National
292240,9782,National
292253,11988,National
292257,15500,National
292258,11995,National
292284,18950,National
292302,16473,National
292312,16997,National
292318,10495,National
292339,9950,National
292342,16340,National
292344,13990,National
292345,24440,National
292365,17990,National
292411,17983,National
292421,6950,National
292424,11658,National
292426,16250,National
292436,13477,National
292437,7989,National
292444,16995,National
292445,10999,National
292464,18987,National
292475,24229,National
292484,19999,National
292496,14986,National
292512,10500,National
292516,19990,National
292518,25383,National
292546,25000,National
292554,13777,National
292559,7239,National
292573,11995,National
292574,25000,National
292581,16995,National
292593,19995,National
292595,19794,National
292621,18688,National
292636,7950,National
292644,22853,National
292651,12995,National
292653,5426,National
292696,25377,National
292697,26495,National
292702,25983,National
292705,10495,National
292706,13995,National
292709,7999,National
292723,13995,National
292728,18900,National
292749,11000,National
292768,8990,National
292779,15999,National
292781,15518,National
292802,9985,National
292820,22995,National
292821,11977,National
292824,12995,National
292837,20477,National
292851,27990,National
292855,20995,National
292862,8995,National
292872,16983,National
292900,13996,National
292911,23700,National
292925,15995,National
292937,17988,National
292941,10000,National
292943,27985,National
292968,26981,National
292998,26901,National
293006,9986,National
293007,7990,National
293036,15990,National
293068,16995,National
293080,14500,National
293086,13194,National
293102,11999,National
293104,9500,National
293114,13000,National
293140,16000,National
293144,15999,National
293155,20900,National
293165,9999,National
293176,13900,National
293196,18695,National
293202,15931,National
293206,12495,National
293216,14999,National
